Cell Name;Region Name;Person Name;Activity;Start Time;End Time
D15;Tempo_storage;Die-1;Lifting;14:48:28;14:48:57
F9;Die_Cutting;Die-1;Stand;14:48:58;14:50:01
D10;Folding;Die-1;Stand;14:49:36;14:50:04
A14;Tempo_storage;Die-1;Stand;14:50:44;14:51:43
B16;Tempo_storage;Die-1;Stand;14:50:58;14:51:19
D14;Tempo_storage;Die-1;Sorting;14:52:06;14:52:57
E8;Die_Cutting;Die-1;Die-Feeding;14:52:30;14:52:54
B11;Cutting;Die-1;Walk;14:52:43;14:52:57
D15;Tempo_storage;Die-1;Sorting;14:53:11;14:54:17
C12;Cutting;Die-1;Lifting;14:53:17;14:54:36
D14;Tempo_storage;Die-1;Lifting;14:53:34;14:53:55
E10;Die_Cutting;Die-1;Sorting;14:53:50;14:55:03
C12;Folding;Die-1;Stand;14:53:58;14:54:32
B11;Cutting;Die-1;Cutting;14:54:03;14:55:08
E10;Die_Cutting;Die-1;Lifting;14:54:07;14:54:37
B13;Cutting;Die-1;Walk;14:54:16;14:55:37
D14;Tempo_storage;Die-1;Walk;14:54:26;14:55:08
E10;Die_Cutting;Die-1;Die-Feeding;14:54:48;14:55:01
E10;Die_Cutting;Die-1;Stand;14:54:51;14:55:26
B13;Folding;Die-1;Lifting;14:54:53;14:56:08
E10;Die_Cutting;Die-1;Stand;14:55:03;14:55:53
D10;Folding;Die-1;Sorting;14:57:09;14:58:16
C15;Tempo_storage;Die-1;Lifting;14:57:15;14:58:18
D10;Folding;Die-1;Lifting;14:57:29;14:57:34
E13;Die_Cutting;Die-1;Stand;14:57:37;14:58:20
B13;Folding;Die-1;Sorting;14:57:55;14:58:29
B13;Cutting;Die-1;Sorting;14:58:02;14:58:19
E12;Die_Cutting;LAY-5;Walk;14:46:20;14:47:16
D10;Folding;LAY-5;Walk;14:39:35;14:39:51
D14;Tempo_storage;LAY-5;Walk;14:40:06;14:40:42
A14;Tempo_storage;LAY-5;Stand;14:40:15;14:40:20
D10;Folding;LAY-5;Lifting;14:40:53;14:42:12
A15;Tempo_storage;LAY-5;Stand;14:41:32;14:42:54
D14;Tempo_storage;LAY-5;Sorting;14:41:43;14:42:02
E10;Die_Cutting;LAY-5;Sorting;14:42:06;14:43:12
D15;Tempo_storage;LAY-5;Sorting;14:42:13;14:43:14
D15;Tempo_storage;LAY-5;Sorting;14:42:24;14:43:37
C8;Folding;LAY-5;Stand;14:42:28;14:43:19
B13;Cutting;LAY-5;Stand;14:42:42;14:43:00
E10;Die_Cutting;LAY-5;Die-Feeding;14:43:01;14:44:26
D9;Folding;LAY-5;Walk;14:43:15;14:43:39
A15;Tempo_storage;LAY-5;Lifting;14:43:17;14:43:52
B12;Cutting;LAY-5;Walk;14:43:44;14:44:14
D12;Cutting;LAY-5;Cutting;14:45:12;14:46:06
E9;Die_Cutting;LAY-5;Walk;14:45:26;14:46:32
E13;Die_Cutting;LAY-5;Lifting;14:45:28;14:46:36
B13;Cutting;LAY-5;Walk;14:45:32;14:45:56
B13;Cutting;LAY-5;Walk;14:45:39;14:46:52
B13;Cutting;LAY-5;Walk;14:46:56;14:47:58
D15;Tempo_storage;LAY-5;Lifting;14:47:26;14:48:50
C9;Folding;LAY-5;Sorting;14:47:32;14:47:49
B13;Cutting;LAY-5;Stand;14:47:58;14:48:30
D10;Folding;LAY-5;Lifting;14:48:03;14:48:20
C15;Tempo_storage;LAY-5;Sorting;14:48:05;14:48:26
C10;Cutting;LAY-5;Sorting;14:48:11;14:49:35
A15;Tempo_storage;LAY-5;Sorting;14:48:44;14:49:04
E10;Die_Cutting;LAY-5;Die-Feeding;14:48:48;14:50:16
E8;Die_Cutting;LAY-5;Die-Feeding;14:49:06;14:49:41
D15;Tempo_storage;LAY-5;Sorting;14:49:10;14:50:26
E9;Die_Cutting;LAY-5;Lifting;14:50:03;14:50:33
D10;Folding;LAY-5;Lifting;14:50:10;14:51:12
E10;Die_Cutting;LAY-5;Walk;14:50:28;14:50:58
E9;Die_Cutting;LAY-5;Die-Feeding;14:51:54;14:52:17
B13;Cutting;LAY-5;Sorting;14:52:13;14:52:18
D10;Folding;LAY-5;Stand;14:52:54;14:53:06
E13;Die_Cutting;LAY-5;Die-Feeding;14:53:09;14:54:03
A14;Tempo_storage;LAY-5;Stand;14:53:55;14:54:17
E10;Die_Cutting;LAY-5;Stand;14:55:25;14:56:53
C14;Tempo_storage;LAY-5;Lifting;14:55:28;14:56:17
B13;Cutting;LAY-5;Sorting;14:55:51;14:56:38
D15;Tempo_storage;LAY-5;Stand;14:55:59;14:56:56
D15;Tempo_storage;LAY-5;Lifting;14:56:01;14:56:28
E13;Die_Cutting;LAY-5;Die-Feeding;14:56:29;14:57:51
E10;Die_Cutting;LAY-5;Walk;14:56:32;14:57:26
D8;Folding;LAY-5;Lifting;14:56:54;14:57:11
D14;Tempo_storage;LAY-5;Sorting;14:57:15;14:57:59
E11;Die_Cutting;LAY-5;Lifting;14:57:40;14:57:54
B15;Tempo_storage;LAY-5;Sorting;14:57:53;14:58:17
B11;Cutting;LAY-7;Lifting;14:58:11;14:58:29
D15;Tempo_storage;LAY-7;Sorting;14:39:10;14:40:24
E10;Die_Cutting;LAY-7;Stand;14:40:28;14:41:00
A15;Tempo_storage;LAY-7;Stand;14:40:29;14:41:07
D14;Tempo_storage;LAY-7;Stand;14:41:16;14:42:24
B11;Cutting;LAY-7;Lifting;14:41:25;14:42:23
C15;Tempo_storage;LAY-7;Walk;14:41:58;14:43:07
D10;Folding;LAY-7;Walk;14:42:15;14:43:09
B11;Cutting;LAY-7;Cutting;14:42:19;14:42:51
E14;Die_Cutting;LAY-7;Sorting;14:42:46;14:43:17
E11;Die_Cutting;LAY-7;Die-Feeding;14:42:59;14:43:49
D10;Folding;LAY-7;Walk;14:42:59;14:43:53
D14;Tempo_storage;LAY-7;Sorting;14:43:20;14:44:42
D10;Folding;LAY-7;Stand;14:43:29;14:44:18
E9;Die_Cutting;LAY-7;Stand;14:44:27;14:45:17
D14;Tempo_storage;LAY-7;Stand;14:44:29;14:44:46
B12;Cutting;LAY-7;Lifting;14:44:48;14:44:55
E9;Die_Cutting;LAY-7;Die-Feeding;14:45:29;14:45:37
C9;Folding;LAY-7;Lifting;14:46:25;14:46:43
F10;Die_Cutting;LAY-7;Stand;14:46:34;14:47:36
D15;Tempo_storage;LAY-7;Sorting;14:46:49;14:47:41
E11;Die_Cutting;LAY-7;Stand;14:46:56;14:47:50
E11;Die_Cutting;LAY-7;Die-Feeding;14:47:07;14:47:54
C15;Tempo_storage;LAY-7;Stand;14:47:49;14:48:08
F10;Die_Cutting;LAY-7;Die-Feeding;14:48:17;14:48:55
C12;Cutting;LAY-7;Stand;14:48:20;14:49:01
E9;Die_Cutting;LAY-7;Walk;14:49:04;14:49:52
B14;Tempo_storage;LAY-7;Sorting;14:49:17;14:50:45
B12;Cutting;LAY-7;Lifting;14:49:18;14:49:23
A14;Tempo_storage;LAY-7;Walk;14:49:19;14:50:01
E11;Die_Cutting;LAY-7;Lifting;14:49:23;14:49:28
A15;Tempo_storage;LAY-7;Walk;14:49:47;14:50:12
B14;Tempo_storage;LAY-7;Walk;14:50:20;14:51:01
B11;Cutting;LAY-7;Sorting;14:50:42;14:52:02
D14;Tempo_storage;LAY-7;Walk;14:50:45;14:51:49
B12;Cutting;LAY-7;Cutting;14:51:09;14:52:24
B11;Cutting;LAY-7;Walk;14:51:12;14:52:14
C15;Tempo_storage;LAY-7;Sorting;14:52:10;14:52:42
E11;Die_Cutting;LAY-7;Lifting;14:52:18;14:53:03
B13;Cutting;LAY-7;Lifting;14:52:28;14:52:34
D10;Folding;LAY-7;Sorting;14:52:32;14:53:09
D10;Folding;LAY-7;Lifting;14:52:47;14:53:44
D10;Folding;LAY-7;Lifting;14:53:08;14:53:21
D14;Tempo_storage;LAY-7;Stand;14:53:24;14:54:10
D12;Cutting;LAY-7;Walk;14:54:00;14:54:15
D15;Tempo_storage;LAY-7;Lifting;14:54:09;14:54:21
E11;Die_Cutting;LAY-7;Die-Feeding;14:54:46;14:56:10
F10;Die_Cutting;LAY-7;Stand;14:55:12;14:55:20
B11;Cutting;LAY-7;Sorting;14:55:34;14:56:52
D8;Folding;LAY-7;Lifting;14:55:42;14:56:47
D14;Tempo_storage;LAY-7;Sorting;14:56:01;14:57:22
D15;Tempo_storage;LAY-7;Stand;14:56:20;14:57:18
E12;Die_Cutting;LAY-7;Stand;14:56:22;14:57:30
E13;Die_Cutting;LAY-7;Sorting;14:57:07;14:57:25
A14;Tempo_storage;LAY-7;Sorting;14:57:34;14:58:20
D15;Tempo_storage;LAY-7;Lifting;14:57:46;14:58:29
E10;Die_Cutting;LAY-7;Stand;14:58:10;14:58:29
E10;Die_Cutting;Die-1;Stand;14:58:29;14:58:32
E10;Die_Cutting;Die-1;Walk;14:58:33;14:58:40
E11;Die_Cutting;Die-1;Die-Feeding;14:58:43;14:59:36
E11;Die_Cutting;Die-1;Walk;14:59:36;14:59:47
E12;Die_Cutting;Die-1;Die-Feeding;14:59:52;15:00:28
A14;Tempo_storage;Cut-1;Lifting;14:58:34;14:58:40
C12;Cutting;Cut-1;Cutting;14:58:48;14:59:01
A14;Tempo_storage;Cut-1;Lifting;14:59:04;14:59:13
C11;Cutting;Cut-1;Cutting;14:59:16;14:59:30
B14;Tempo_storage;Cut-1;Lifting;14:59:34;14:59:41
C11;Cutting;Cut-1;Cutting;14:59:46;14:59:57
A14;Tempo_storage;Cut-1;Lifting;14:59:59;15:00:04
C11;Cutting;Cut-1;Cutting;15:00:08;15:00:23
A14;Tempo_storage;Cut-1;Lifting;15:00:26;15:00:28
B10;Cutting;LAY-7;Lifting;14:58:32;14:58:44
B10;Cutting;LAY-7;Stand;14:58:48;14:58:57
B11;Cutting;LAY-7;Lifting;14:59:00;14:59:12
B10;Cutting;LAY-7;Stand;14:59:15;14:59:28
C10;Cutting;LAY-7;Lifting;14:59:31;14:59:49
B11;Cutting;LAY-7;Stand;14:59:53;15:00:09
B11;Cutting;LAY-7;Lifting;15:00:12;15:00:23
C11;Cutting;LAY-5;Stand;14:58:36;14:58:55
C11;Cutting;LAY-5;Lifting;14:58:57;14:59:12
B11;Cutting;LAY-5;Stand;14:59:24;14:59:33
B11;Cutting;LAY-5;Lifting;14:59:35;14:59:46
B11;Cutting;LAY-5;Stand;14:59:48;15:00:00
B12;Cutting;LAY-5;Lifting;15:00:06;15:00:27
E11;Die_Cutting;Die-1;Walk;15:10:58;15:11:04
E11;Die_Cutting;Die-1;Stand;15:11:09;15:11:23
E10;Die_Cutting;Die-1;Walk;15:11:27;15:11:41
E11;Die_Cutting;Die-1;Lifting;15:11:44;15:12:05
E10;Die_Cutting;Die-1;Sorting;15:12:10;15:12:24
E9;Die_Cutting;Die-1;Stand;15:12:29;15:12:49
F8;Die_Cutting;Die-1;Stand;15:12:55;15:13:22
E10;Die_Cutting;Die-1;Walk;15:13:46;15:13:53
F8;Die_Cutting;Die-1;Lifting;15:13:58;15:14:04
E8;Die_Cutting;Die-1;Sorting;15:14:10;15:14:21
F8;Die_Cutting;Die-1;Stand;15:14:24;15:14:36
F10;Die_Cutting;Die-1;Lifting;15:14:45;15:14:50
E9;Die_Cutting;Die-1;Walk;15:15:01;15:15:06
E10;Die_Cutting;Die-1;Stand;15:15:11;15:15:27
E12;Die_Cutting;Die-1;Die-Feeding;15:15:33;15:17:57
E11;Die_Cutting;Die-1;Walk;15:18:03;15:18:08
E13;Die_Cutting;Die-1;Die-Feeding;15:18:11;15:19:20
A14;Tempo_storage;Cut-1;Lifting;15:11:08;15:11:21
C11;Cutting;Cut-1;Cutting;15:11:24;15:11:34
A14;Tempo_storage;Cut-1;Lifting;15:11:37;15:11:48
D10;Folding;Cut-1;Walk;15:11:52;15:12:01
E8;Die_Cutting;Cut-1;Stand;15:12:04;15:12:15
F8;Die_Cutting;Cut-1;Sorting;15:12:18;15:12:33
E10;Die_Cutting;Cut-1;Stand;15:12:36;15:13:13
E9;Die_Cutting;Cut-1;Lifting;15:13:16;15:13:28
E8;Die_Cutting;Cut-1;Stand;15:13:33;15:14:30
C11;Cutting;Cut-1;Cutting;15:14:33;15:14:41
B14;Tempo_storage;Cut-1;Lifting;15:14:44;15:14:55
C11;Cutting;Cut-1;Cutting;15:14:58;15:15:31
B14;Tempo_storage;Cut-1;Lifting;15:15:33;15:15:41
C10;Cutting;Cut-1;Cutting;15:15:44;15:16:03
A14;Tempo_storage;Cut-1;Lifting;15:16:07;15:16:17
C11;Cutting;Cut-1;Cutting;15:16:20;15:16:29
B14;Tempo_storage;Cut-1;Lifting;15:16:31;15:16:43
C12;Cutting;Cut-1;Cutting;15:16:45;15:17:01
A15;Tempo_storage;Cut-1;Lifting;15:17:05;15:17:17
C12;Cutting;Cut-1;Cutting;15:17:20;15:17:44
B14;Tempo_storage;Cut-1;Lifting;15:17:46;15:18:04
C11;Cutting;Cut-1;Cutting;15:18:07;15:18:17
A14;Tempo_storage;Cut-1;Lifting;15:18:20;15:18:36
C10;Cutting;Cut-1;Cutting;15:18:39;15:18:56
A14;Tempo_storage;Cut-1;Lifting;15:18:58;15:19:20
B12;Cutting;LAY-7;Sorting;15:11:00;15:11:10
B11;Cutting;LAY-7;Lifting;15:11:14;15:11:33
B11;Cutting;LAY-7;Sorting;15:11:36;15:11:53
B12;Cutting;LAY-7;Lifting;15:12:00;15:12:05
B11;Cutting;LAY-7;Stand;15:12:20;15:12:23
B10;Cutting;LAY-7;Stand;15:12:32;15:12:46
C11;Cutting;LAY-7;Walk;15:12:50;15:12:58
B11;Cutting;LAY-7;Stand;15:13:00;15:14:48
B11;Cutting;LAY-7;Lifting;15:14:52;15:15:05
B11;Cutting;LAY-7;Stand;15:15:09;15:15:28
B11;Cutting;LAY-7;Lifting;15:15:30;15:15:41
B11;Cutting;LAY-7;Stand;15:15:48;15:16:04
B11;Cutting;LAY-7;Sorting;15:16:07;15:16:14
B11;Cutting;LAY-7;Lifting;15:16:17;15:16:34
B11;Cutting;LAY-7;Sorting;15:16:36;15:16:50
B11;Cutting;LAY-7;Lifting;15:16:51;15:17:06
B11;Cutting;LAY-7;Lifting;15:17:09;15:17:23
B11;Cutting;LAY-7;Sorting;15:17:25;15:17:39
B11;Cutting;LAY-7;Lifting;15:17:42;15:18:11
C10;Cutting;LAY-7;Lifting;15:18:15;15:18:30
B11;Cutting;LAY-7;Sorting;15:18:33;15:18:47
B12;Cutting;LAY-7;Sorting;15:18:49;15:19:23
D9;Folding;LAY-5;Lifting;15:11:00;15:11:15
E8;Die_Cutting;LAY-5;Lifting;15:11:23;15:11:41
D10;Folding;LAY-5;Walk;15:11:46;15:11:55
E9;Die_Cutting;LAY-5;Lifting;15:11:58;15:12:14
D10;Folding;LAY-5;Walk;15:12:19;15:12:37
D10;Folding;LAY-5;Lifting;15:13:15;15:13:33
E10;Die_Cutting;LAY-5;Lifting;15:13:36;15:13:49
D10;Folding;LAY-5;Walk;15:13:52;15:14:08
E10;Die_Cutting;LAY-5;Lifting;15:14:10;15:14:25
D10;Folding;LAY-5;Lifting;15:14:40;15:14:56
E8;Die_Cutting;LAY-5;Sorting;15:15:00;15:15:40
E11;Die_Cutting;Die-1;Die-Feeding;15:19:30;15:25:03
D10;Folding;Cut-1;Walk;15:19:31;15:19:36
C11;Cutting;Cut-1;Cutting;15:19:38;15:20:00
A15;Tempo_storage;Cut-1;Lifting;15:20:01;15:20:13
C11;Cutting;Cut-1;Stand;15:20:15;15:20:20
C12;Cutting;Cut-1;Cutting;15:20:22;15:20:37
B14;Tempo_storage;Cut-1;Lifting;15:20:39;15:20:58
C11;Cutting;Cut-1;Stand;15:21:00;15:21:14
D10;Folding;Cut-1;Walk;15:21:42;15:21:47
A14;Tempo_storage;Cut-1;Assiting;15:21:49;15:22:17
C11;Cutting;Cut-1;Cutting;15:22:19;15:22:54
B14;Tempo_storage;Cut-1;Lifting;15:22:56;15:23:09
C11;Cutting;Cut-1;Cutting;15:23:10;15:23:34
B14;Tempo_storage;Cut-1;Lifting;15:23:36;15:23:49
C12;Cutting;Cut-1;Cutting;15:23:51;15:24:03
B14;Tempo_storage;Cut-1;Lifting;15:24:05;15:24:12
C11;Cutting;Cut-1;Cutting;15:24:13;15:24:36
B14;Tempo_storage;Cut-1;Lifting;15:24:39;15:24:47
C11;Cutting;Cut-1;Cutting;15:24:49;15:25:04
C14;Tempo_storage;LAY-7;Lifting;15:19:30;15:19:33
B11;Cutting;LAY-7;Lifting;15:19:36;15:19:53
B11;Cutting;LAY-7;Sorting;15:19:55;15:20:07
B11;Cutting;LAY-7;Lifting;15:20:10;15:20:17
B11;Cutting;LAY-7;Sorting;15:20:20;15:20:36
B11;Cutting;LAY-7;Lifting;15:20:38;15:20:50
D13;Tempo_storage;LAY-7;Stand;15:20:54;15:21:01
B11;Cutting;LAY-7;Sorting;15:21:05;15:21:17
C11;Cutting;LAY-7;Lifting;15:21:22;15:21:30
C11;Cutting;LAY-7;Stand;15:21:32;15:21:43
B11;Cutting;LAY-7;Stand;15:21:44;15:22:54
B11;Cutting;LAY-7;Lifting;15:22:55;15:23:15
C11;Cutting;LAY-7;Stand;15:23:17;15:23:35
B11;Cutting;LAY-7;Lifting;15:23:37;15:23:48
B12;Cutting;LAY-7;Sorting;15:23:51;15:24:17
B11;Cutting;LAY-7;Lifting;15:24:21;15:24:34
B11;Cutting;LAY-7;Sorting;15:24:36;15:25:04
B11;Cutting;LAY-5;Stand;15:20:33;15:20:38
C10;Cutting;LAY-5;Lifting;15:20:41;15:20:47
B11;Cutting;LAY-5;Walk;15:20:49;15:20:57
B12;Cutting;LAY-5;Lifting;15:21:05;15:21:15
B11;Cutting;LAY-5;Stand;15:21:18;15:21:31
B10;Cutting;LAY-5;Lifting;15:21:35;15:21:47
B12;Cutting;LAY-5;Stand;15:21:49;15:22:18
C12;Cutting;LAY-5;Walk;15:22:21;15:22:36
D10;Folding;LAY-5;Lifting;15:23:13;15:23:37
D10;Folding;LAY-5;Walk;15:23:40;15:23:59
E8;Die_Cutting;LAY-5;Lifting;15:24:01;15:24:07
D10;Folding;LAY-5;Walk;15:24:09;15:24:28
B11;Cutting;LAY-5;Sorting;15:24:29;15:24:45
B12;Cutting;LAY-5;Lifting;15:24:49;15:25:05
